epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.09324,1.81741,2.78211,2.21243,0.00333,1,0.63786,0.2577,1.36296,3.26721,1.50328,0,0,0
2,2.20163,1.79708,2.7812,1.83612,0.00333,1,0.695,0.27357,1.35646,3.25501,1.47066,1.9604e-05,1.9604e-05,1.9604e-05
3,3.47653,1.96978,2.84164,1.98951,0.00333,1,0.66167,0.26964,1.29867,3.21846,1.43419,3.8416e-05,3.8416e-05,3.8416e-05
4,4.66021,2.11188,2.94081,2.14638,0.00333,1,0.63786,0.2914,1.23884,3.19221,1.40364,5.6436e-05,5.6436e-05,5.6436e-05
5,5.92011,1.85279,2.70121,1.76183,0.00333,1,0.745,0.31388,1.19727,3.20817,1.36899,7.3664e-05,7.3664e-05,7.3664e-05
6,7.15706,1.33187,2.42814,1.63122,0.00333,1,0.66333,0.29844,1.23741,3.15944,1.33523,9.01e-05,9.01e-05,9.01e-05
7,8.31283,1.43847,2.31011,1.51548,0.00333,1,0.4475,0.18135,1.5462,3.55737,1.51922,0.000105744,0.000105744,0.000105744
8,9.53003,0.96616,2.08911,1.09927,0.00333,1,0.398,0.13738,1.90607,3.21868,1.67067,0.000120596,0.000120596,0.000120596
9,10.7404,1.27174,2.23911,1.35452,0.00333,1,0.28429,0.13135,2.02517,3.28404,1.71422,0.000134656,0.000134656,0.000134656
10,11.8555,1.31226,2.19458,1.34322,0.00333,1,0.22375,0.1024,2.11891,3.23898,1.80396,0.000147924,0.000147924,0.000147924
11,12.9908,1.15529,1.73127,1.17955,0.00333,1,0.15393,0.07312,2.14391,3.21825,1.901,0.0001604,0.0001604,0.0001604
12,14.1437,1.07652,2.00549,1.21022,0.00333,1,0.15308,0.0735,2.00471,3.29597,1.7953,0.000172084,0.000172084,0.000172084
13,15.3307,1.05021,1.82594,1.14966,0.00333,1,0.12437,0.06757,1.86744,3.50337,1.72124,0.000182976,0.000182976,0.000182976
14,16.5238,1.15639,1.45227,1.06374,0.00333,1,0.13321,0.05248,2.03268,3.52101,1.81061,0.000193076,0.000193076,0.000193076
15,17.6495,0.84012,1.40648,1.03637,0.00333,1,0.13738,0.04792,2.21328,3.42891,2.01334,0.000202384,0.000202384,0.000202384
16,18.8891,0.86026,1.28985,1.09361,0.00333,1,0.11706,0.04557,2.18102,3.60992,1.91005,0.0002109,0.0002109,0.0002109
17,20.0972,0.87411,1.17906,1.1579,0.00333,1,0.09476,0.04539,1.74028,3.75141,1.63992,0.000218624,0.000218624,0.000218624
18,21.2948,0.95084,1.10973,1.09983,0.00333,1,0.09476,0.04539,1.74028,3.75141,1.63992,0.000225556,0.000225556,0.000225556
19,22.5854,0.69853,1.12054,0.90406,0.00333,1,0.11056,0.05239,1.56054,3.94253,1.55487,0.000231696,0.000231696,0.000231696
20,24.0284,0.84739,1.11753,0.97518,0.00333,1,0.11056,0.05239,1.56054,3.94253,1.55487,0.000237044,0.000237044,0.000237044
21,25.3782,0.68516,1.4312,1.0472,0.00333,1,0.14214,0.06067,1.61469,4.01271,1.6059,0.0002416,0.0002416,0.0002416
22,26.67,0.70488,1.03569,0.99311,0.00333,1,0.14214,0.06067,1.61469,4.01271,1.6059,0.000245364,0.000245364,0.000245364
23,28.0454,0.97031,1.30276,1.11097,0.36614,0.5,0.33841,0.09505,1.56759,3.15124,1.57657,0.000248336,0.000248336,0.000248336
